id,booth,title,exhibitor,steamName,steamUrl,score,confidence,ok
"47","1F-D47","Type & Magic","Decoboco Games","Type & Magic","https://store.steampowered.com/app/3685040/","1.00","high","OK"
"48","1F-D48","Little Cheese Works","BUBBLE　GUM","Little Cheese Works","https://store.steampowered.com/app/2527940/","1.00","high","OK"
"49","1F-D49","Bytes and Knights - Adventure","Jonathan Holmes (crait)","","","0.00","none",""
"50","1F-D50","スマイルマッスルトレーナー (Smile Muscle Trainer)","Software Control Corporation","","","0.00","none",""
"51","1F-D51","天使機構 - 執行部魂救済課 (Angelic Agency)","YOKUNIKU","天使機構 執行部魂救済課","https://store.steampowered.com/app/3370180/","1.00","high","OK"
"53","1F-D53","BBアドベンチャー (BB Adventure)","やまむーゲームス","BBアドベンチャー","https://store.steampowered.com/app/3740460/","1.00","high","OK"
"54","1F-D54","THREAT -SCREAM AND ESCAPE-","C-Route,inc.","THREAT -SCREAM AND ESCAPE-","https://store.steampowered.com/app/3493610/","1.00","high","OK"
"55","1F-D55","Tammuz: Blood and Sand","Bad Goat & CloverBite","Tammuz: Blood & Sand","https://store.steampowered.com/app/4164840/","0.83","high","OK"
"56","1F-U01","妄想ゲームズ☆ ブース","妄想ゲームズ☆","","","0.00","none",""
"57","1F-U02","HEY! ブース","HEY!","","","0.00","none",""
"58","1F-U03","らいるず & ダックルーズ ブース","らいるず & ダックルーズ","","","0.00","none",""
"59","1F-U04","ClaGla ブース","ClaGla（クラグラ）","","","0.00","none",""
"60","1F-U05","SUSABI Games & Virtual Party ブース","SUSABI Games & Virtual Party","","","0.00","none",""
"61","1F-U06","淺草ゲームズ ブース","淺草ゲームズ","","","0.00","none",""
"62","1F-U07","TANSAN & ハーベストバレー ブース","TANSAN & ハーベストバレー","","","0.00","none",""
"63","1F-C01","京都市 ブース","京都市","","","0.00","none",""
"64","1F-C02","京都府 ブース","京都府","","","0.00","none",""
"65","1F-C03","京まふ ブース","京都国際マンガ・アニメフェア","","","0.00","none",""
"66","1F-C04","CAMPFIRE ブース","CAMPFIRE","","","0.00","none",""
"67","1F-E01","BitSummit 公式物販ブース","BitSummit","","","0.00","none",""
"68","1F-E02","fYtO 物販","株式会社フロムイエロートゥオレンジ","","","0.00","none",""
"69","1F-E03","SUPERDELUXE GAMES 物販","SUPERDELUXE GAMES","","","0.00","none",""
"70","1F-E04","エディットモード 物販","エディットモード","","","0.00","none",""
"71","1F-E05","玉乃光酒造 飲食","玉乃光酒造","","","0.00","none",""
"72","1F-E06","BAKERU 飲食","BAKERU","","","0.00","none",""
"73","1F-E07","淺草来々軒 飲食","淺草来々軒","","","0.00","none",""
"74","1F-E08","スティッチコーヒー 飲食","スティッチコーヒー","","","0.00","none",""
"75","1F-E09","58DINER 飲食","58DINER","","","0.00","none",""
"76","1F-E10","ギルドバハムートIII 飲食","ギルドバハムートIII","","","0.00","none",""
"77","1F-A01","Devolver Digital ブース","Devolver Digital","","","0.00","none",""
"78","1F-A02","インティ・クリエイツ ブース","インティ・クリエイツ","","","0.00","none",""
"79","1F-A03","KOCCA ブース","KOCCA","","","0.00","none",""
"80","1F-A04","ハピネット ブース","株式会社ハピネット","","","0.00","none",""
"81","1F-A05","NZ CODE ブース","NZ CODE","","","0.00","none",""
"82","1F-A06","ポケットペア ブース","ポケットペア","","","0.00","none",""
"83","1F-A07","Screen Australia ブース","Screen Australia","","","0.00","none",""
"84","1F-A08","Kakehashi Games ブース","Kakehashi Games","","","0.00","none",""
"85","1F-A09","Game Source Entertainment ブース","GAME SOURCE ENTERTAINMENT","","","0.00","none",""
"86","1F-A10","電ファミニコゲーマー ブース","電ファミニコゲーマー","","","0.00","none",""
"87","1F-A11","Q-Games ブース","Q-Games","","","0.00","none",""
"88","1F-A12","Critical Reflex ブース","Critical Reflex","","","0.00","none",""
"89","1F-A13","Ukiyo Studios ブース","Ukiyo Studios","","","0.00","none",""
"90","1F-A14","PARCO GAMES ブース","PARCO GAMES","","","0.00","none",""
"91","1F-A15","viviON ブース","株式会社viviON","","","0.00","none",""
"92","1F-A16","2P Games ブース","2P Games","","","0.00","none",""
"93","1F-A17","G-SMASH ブース","G-SMASH株式会社","","","0.00","none",""
"94","1F-A18","G-SMASH GAMEJAM","G-SMASH GAMEJAM","","","0.00","none",""
"95","1F-A19","ドリコム ブース","株式会社ドリコム","","","0.00","none",""
"96","1F-A20","tinyBuild ブース","tinyBuild","","","0.00","none",""
"97","1F-A21","New Blood ブース","New Blood Interactive","","","0.00","none",""
"98","1F-A22","CRI・ミドルウェア ブース","株式会社CRI・ミドルウェア","","","0.00","none",""
"99","1F-A23","CiGA ブース","CiGA（China indie Game Alliance）","","","0.00","none",""
"100","1F-A24","アニプレックス ブース","アニプレックス","","","0.00","none",""
"101","1F-A25","東映ゲームズ ブース","東映ゲームズ","","","0.00","none",""
"102","1F-A26","マーベラス ブース","マーベラス","","","0.00","none",""
"103","1F-A27","iGi indie Game incubator ブース","iGi indie Game incubator","","","0.00","none",""
"104","1F-B01","INDIENOVA ブース","INDIENOVA","","","0.00","none",""
"105","1F-B02","スピード ブース","株式会社スピード","","","0.00","none",""
"106","1F-B03","ウルクスヘブン ブース","有限会社ウルクスヘブン","","","0.00","none",""
"107","1F-B04","松竹 ブース","松竹株式会社","","","0.00","none",""
"108","1F-B05","CharacterBank ブース","株式会社CharacterBank","","","0.00","none",""
"109","1F-B06","Black Lantern Collective ブース","Black Lantern Collective","","","0.00","none",""
"110","1F-B07","SKOOTA GAMES ブース","SKOOTA GAMES","","","0.00","none",""
"111","1F-B08","SUNSOFT ブース","SUNSOFT（サン電子）","","","0.00","none",""
"112","1F-B09","Pikii ブース","Pikii","","","0.00","none",""
"113","1F-B10","パイオニア ブース","パイオニア","","","0.00","none",""
"114","1F-B11","達成電器 ブース","達成電器","","","0.00","none",""
"115","1F-B12","ヤネウラゲームス ブース","株式会社ヤネウラゲームス","","","0.00","none",""
"116","1F-B13","ホビージャパン ブース","ホビージャパン","","","0.00","none",""
"117","1F-B14","ジー・モード ブース","ジー・モード","","","0.00","none",""
"118","1F-B15","room6 ブース","room6 / ヨカゼ","","","0.00","none",""
